abercda01,1871,1,TRO,NA,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addybo01,1871,1,RC1,NA,274,1231,227,341,36,13,1,167,35,17,20,9,0,0,0,0,0
allisar01,1871,1,CL1,NA,168,741,106,188,19,8,1,70,10,3,5,20,0,0,0,0,4
allisdo01,1871,1,WS3,NA,318,1407,236,382,44,10,2,139,5,2,24,44,0,0,0,0,6
ansonca01,1871,1,RC1,NA,2524,10281,1999,3435,582,142,97,2075,277,16,984,330,0,32,34,0,6
armstbo01,1871,1,FW1,NA,12,49,9,11,2,1,0,5,0,1,0,1,0,0,0,0,0
barkeal01,1871,1,RC1,NA,1,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
barnero01,1871,1,BS1,NA,499,2391,698,860,146,47,6,346,103,27,116,65,0,0,0,0,6
barrebi01,1871,1,FW1,NA,3,13,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0
barrofr01,1871,1,BS1,NA,18,86,13,13,2,1,0,11,1,0,0,0,0,0,0,0,0
bassjo01,1871,1,CL1,NA,25,100,19,29,2,10,3,19,0,1,3,4,0,0,0,0,0
battijo01,1871,1,CL1,NA,480,1953,228,439,51,25,3,143,26,5,40,36,0,1,0,0,4
bealsto01,1871,1,WS3,NA,123,539,109,131,15,16,0,64,6,1,8,11,0,0,0,0,3
beaveed01,1871,1,TRO,NA,13,58,13,15,2,0,0,7,2,0,1,0,0,0,0,0,0
bechtge01,1871,1,PH1,NA,221,1040,216,288,48,12,3,165,17,2,22,12,0,0,0,0,7
bellast01,1871,1,TRO,NA,60,275,52,69,9,3,0,43,5,4,11,2,0,0,0,0,4
berkena01,1871,1,PH1,NA,1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
berryto01,1871,1,PH1,NA,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
berthha01,1871,1,WS3,NA,17,73,17,17,1,1,0,8,3,1,4,2,0,0,0,0,0
biermch01,1871,1,FW1,NA,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
birdge01,1871,1,RC1,NA,25,106,19,28,2,5,0,13,1,0,3,2,0,0,0,0,3
birdsda01,1871,1,BS1,NA,48,239,66,63,6,3,0,39,7,2,7,4,0,0,0,0,1
